valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2016,year,SZ,canton,all,agegroup_food,all,all,22.0,155863.0,14.11,,21.7,,1.5,,,,,True
cases,2016,year,TG,canton,all,agegroup_food,all,all,40.0,270709.0,14.78,,45.0,,2.6,,,,,True
cases,2016,year,TI,canton,all,agegroup_food,all,all,83.0,354375.0,23.42,,78.0,,5.5,,,,,True
cases,2016,year,UR,canton,all,agegroup_food,all,all,5.0,36145.0,13.83,,5.0,,0.3,,,,,True
cases,2016,year,VD,canton,all,agegroup_food,all,all,182.0,784822.0,23.19,,148.3,,12.1,,,,,True
cases,2016,year,VS,canton,all,agegroup_food,all,all,52.0,339176.0,15.33,,52.7,,3.4,,,,,True
cases,2016,year,ZG,canton,all,agegroup_food,all,all,9.0,123948.0,7.26,,10.3,,0.6,,,,,True
cases,2016,year,ZH,canton,all,agegroup_food,all,all,224.0,1487969.0,15.05,,202.7,,14.8,,,,,True
cases,2017,year,AG,canton,all,agegroup_food,all,all,142.0,670988.0,21.16,,120.3,,7.8,,,,,True
cases,2017,year,AI,canton,all,agegroup_food,all,all,1.0,16105.0,6.21,,1.3,,0.1,,,,,True
cases,2017,year,AR,canton,all,agegroup_food,all,all,6.0,55178.0,10.87,,6.3,,0.3,,,,,True
cases,2017,year,BE,canton,all,agegroup_food,all,all,199.0,1031126.0,19.3,,178.7,,10.9,,,,,True
cases,2017,year,BL,canton,all,agegroup_food,all,all,62.0,287023.0,21.6,,62.7,,3.4,,,,,True
cases,2017,year,BS,canton,all,agegroup_food,all,all,38.0,193908.0,19.6,,38.3,,2.1,,,,,True
cases,2017,year,CH,country,all,agegroup_food,all,all,1826.0,8484130.0,21.52,,1563.3,,99.5,,,,,True
cases,2017,year,CHFL,CHFL,all,agegroup_food,all,all,1836.0,8522244.0,21.54,,1570.3,rising,100.0,316.0,3.57,19.9,1444.4,True
cases,2017,year,FL,country,all,agegroup_food,all,all,10.0,38114.0,26.24,,7.0,,0.5,,,,,True
cases,2017,year,FR,canton,all,agegroup_food,all,all,79.0,315074.0,25.07,,55.3,,4.3,,,,,True
cases,2017,year,GE,canton,all,agegroup_food,all,all,128.0,495249.0,25.85,,119.0,,7.0,,,,,True
cases,2017,year,GL,canton,all,agegroup_food,all,all,8.0,40349.0,19.83,,6.3,,0.4,,,,,True
cases,2017,year,GR,canton,all,agegroup_food,all,all,33.0,197888.0,16.68,,31.3,,1.8,,,,,True
cases,2017,year,JU,canton,all,agegroup_food,all,all,15.0,73290.0,20.47,,16.0,,0.8,,,,,True
cases,2017,year,LU,canton,all,agegroup_food,all,all,69.0,406506.0,16.97,,62.3,,3.8,,,,,True
cases,2017,year,NE,canton,all,agegroup_food,all,all,50.0,177964.0,28.1,,46.3,,2.7,,,,,True
cases,2017,year,NW,canton,all,agegroup_food,all,all,13.0,42969.0,30.25,,6.7,,0.7,,,,,True
cases,2017,year,OW,canton,all,agegroup_food,all,all,7.0,37575.0,18.63,,5.3,,0.4,,,,,True
cases,2017,year,SG,canton,all,agegroup_food,all,all,92.0,504686.0,18.23,,88.7,,5.0,,,,,True
cases,2017,year,SH,canton,all,agegroup_food,all,all,15.0,81351.0,18.44,,13.0,,0.8,,,,,True
cases,2017,year,SO,canton,all,agegroup_food,all,all,53.0,271432.0,19.53,,53.3,,2.9,,,,,True
cases,2017,year,SZ,canton,all,agegroup_food,all,all,33.0,157301.0,20.98,,23.7,,1.8,,,,,True
cases,2017,year,TG,canton,all,agegroup_food,all,all,43.0,273801.0,15.7,,42.0,,2.4,,,,,True
cases,2017,year,TI,canton,all,agegroup_food,all,all,87.0,353709.0,24.6,,80.7,,4.8,,,,,True
cases,2017,year,UR,canton,all,agegroup_food,all,all,7.0,36299.0,19.28,,5.3,,0.4,,,,,True
cases,2017,year,VD,canton,all,agegroup_food,all,all,256.0,793129.0,32.28,,190.7,,14.0,,,,,True
cases,2017,year,VS,canton,all,agegroup_food,all,all,84.0,341463.0,24.6,,63.3,,4.6,,,,,True
cases,2017,year,ZG,canton,all,agegroup_food,all,all,23.0,125421.0,18.34,,15.3,,1.3,,,,,True
cases,2017,year,ZH,canton,all,agegroup_food,all,all,283.0,1504346.0,18.81,,231.0,,15.5,,,,,True
cases,2018,year,AG,canton,all,agegroup_food,all,all,117.0,678207.0,17.25,,127.3,,8.0,,,,,True
cases,2018,year,AI,canton,all,agegroup_food,all,all,1.0,16145.0,6.19,,1.0,,0.1,,,,,True
cases,2018,year,AR,canton,all,agegroup_food,all,all,2.0,55234.0,3.62,,3.3,,0.1,,,,,True
cases,2018,year,BE,canton,all,agegroup_food,all,all,139.0,1034977.0,13.43,,174.0,,9.5,,,,,True
cases,2018,year,BL,canton,all,agegroup_food,all,all,63.0,288132.0,21.86,,65.3,,4.3,,,,,True
cases,2018,year,BS,canton,all,agegroup_food,all,all,35.0,194766.0,17.97,,38.7,,2.4,,,,,True
cases,2018,year,CH,country,all,agegroup_food,all,all,1465.0,8544527.0,17.15,,1600.3,,99.7,,,,,True
cases,2018,year,CHFL,CHFL,all,agegroup_food,all,all,1470.0,8582905.0,17.13,,1608.7,rising,100.0,-366.0,-4.41,-20.5,1484.2,True
cases,2018,year,FL,country,all,agegroup_food,all,all,5.0,38378.0,13.03,,8.3,,0.3,,,,,True
cases,2018,year,FR,canton,all,agegroup_food,all,all,62.0,318714.0,19.45,,63.7,,4.2,,,,,True
cases,2018,year,GE,canton,all,agegroup_food,all,all,121.0,499480.0,24.23,,114.7,,8.3,,,,,True
cases,2018,year,GL,canton,all,agegroup_food,all,all,8.0,40403.0,19.8,,6.3,,0.5,,,,,True
cases,2018,year,GR,canton,all,agegroup_food,all,all,31.0,198379.0,15.63,,33.0,,2.1,,,,,True
cases,2018,year,JU,canton,all,agegroup_food,all,all,21.0,73419.0,28.6,,15.7,,1.4,,,,,True
cases,2018,year,LU,canton,all,agegroup_food,all,all,57.0,409557.0,13.92,,63.7,,3.9,,,,,True
cases,2018,year,NE,canton,all,agegroup_food,all,all,29.0,176850.0,16.4,,39.7,,2.0,,,,,True
cases,2018,year,NW,canton,all,agegroup_food,all,all,5.0,43223.0,11.57,,6.3,,0.3,,,,,True
cases,2018,year,OW,canton,all,agegroup_food,all,all,6.0,37841.0,15.86,,7.0,,0.4,,,,,True
cases,2018,year,SG,canton,all,agegroup_food,all,all,74.0,507697.0,14.58,,84.3,,5.1,,,,,True
cases,2018,year,SH,canton,all,agegroup_food,all,all,14.0,81991.0,17.08,,13.0,,1.0,,,,,True
cases,2018,year,SO,canton,all,agegroup_food,all,all,49.0,273194.0,17.94,,55.3,,3.3,,,,,True
cases,2018,year,SZ,canton,all,agegroup_food,all,all,22.0,159165.0,13.82,,25.7,,1.5,,,,,True
cases,2018,year,TG,canton,all,agegroup_food,all,all,45.0,276472.0,16.28,,42.7,,3.1,,,,,True
cases,2018,year,TI,canton,all,agegroup_food,all,all,73.0,353343.0,20.66,,81.0,,5.0,,,,,True
cases,2018,year,UR,canton,all,agegroup_food,all,all,5.0,36433.0,13.72,,5.7,,0.3,,,,,True
cases,2018,year,VD,canton,all,agegroup_food,all,all,133.0,799145.0,16.64,,190.3,,9.1,,,,,True
cases,2018,year,VS,canton,all,agegroup_food,all,all,80.0,343955.0,23.26,,72.0,,5.5,,,,,True
cases,2018,year,ZG,canton,all,agegroup_food,all,all,27.0,126837.0,21.29,,19.7,,1.8,,,,,True
cases,2018,year,ZH,canton,all,agegroup_food,all,all,246.0,1520968.0,16.17,,251.0,,16.8,,,,,True
cases,2019,year,AG,canton,all,agegroup_food,all,all,126.0,685845.0,18.37,,128.3,,8.2,,,,,True
cases,2019,year,AI,canton,all,agegroup_food,all,all,4.0,16128.0,24.8,,2.0,,0.3,,,,,True
cases,2019,year,AR,canton,all,agegroup_food,all,all,5.0,55445.0,9.02,,4.3,,0.3,,,,,True
cases,2019,year,BE,canton,all,agegroup_food,all,all,152.0,1039474.0,14.62,,163.3,,9.9,,,,,True
cases,2019,year,BL,canton,all,agegroup_food,all,all,71.0,289468.0,24.53,,65.3,,4.6,,,,,True
cases,2019,year,BS,canton,all,agegroup_food,all,all,47.0,195844.0,24.0,,40.0,,3.1,,,,,True
cases,2019,year,CH,country,all,agegroup_food,all,all,1539.0,8606033.0,17.88,,1610.0,,99.7,,,,,True
cases,2019,year,CHFL,CHFL,all,agegroup_food,all,all,1543.0,8644780.0,17.85,,1616.3,falling,100.0,73.0,0.72,4.2,1544.8,True
cases,2019,year,FL,country,all,agegroup_food,all,all,4.0,38747.0,10.32,,6.3,,0.3,,,,,True
cases,2019,year,FR,canton,all,agegroup_food,all,all,44.0,321783.0,13.67,,61.7,,2.9,,,,,True
cases,2019,year,GE,canton,all,agegroup_food,all,all,105.0,504128.0,20.83,,118.0,,6.8,,,,,True
cases,2019,year,GL,canton,all,agegroup_food,all,all,6.0,40590.0,14.78,,7.3,,0.4,,,,,True
cases,2019,year,GR,canton,all,agegroup_food,all,all,29.0,199021.0,14.57,,31.0,,1.9,,,,,True
cases,2019,year,JU,canton,all,agegroup_food,all,all,11.0,73584.0,14.95,,15.7,,0.7,,,,,True
